latitude,longitude,state_region,elevation_m,slope_deg,aspect_deg,curvature,rainfall_mm,soil_moisture,temperature_c,humidity_pct,land_cover,historical_landslide_count,days_since_previous_event,landslide,risk_category_prototype
25.208313,89.969847,Meghalaya,1586.57,26.59,31.29,-0.3282,228.87,0.5928,20.09,35.11,Cropland,5,3301,0,MODERATE
25.557408,91.516506,Meghalaya,2349.21,10.23,58.12,0.0131,177.39,0.7911,15.98,55.46,Grassland,6,3753,1,HIGH
27.527538,88.504226,Sikkim,1231.51,12.11,288.32,0.4105,313.7,0.6301,23.11,79.1,Barren,5,1413,1,HIGH
30.718491,79.126639,Uttarakhand,898.32,17.96,219.08,0.0467,142.57,0.4839,20.2,70.9,Grassland,8,3435,1,LOW
11.690331,75.769784,Kerala,638.86,4.78,268.34,-0.0554,133.97,0.5056,25.68,69.75,Grassland,5,2320,0,LOW
12.899058,76.390334,Tamil Nadu,286.32,15.06,180.32,-0.1823,123.24,0.8424,28.39,61.65,Shrubland,5,2602,1,MODERATE
31.829303,78.570039,Himachal Pradesh,2412.28,4.76,127.44,0.2069,250.36,0.6121,9.01,49.89,Forest,11,1739,1,HIGH
11.020786,76.673067,Tamil Nadu,2649.07,45.2,289.72,0.0506,25.23,0.5374,11.44,43.73,Built-up,3,837,1,CRITICAL
12.596058,76.784219,Tamil Nadu,2490.6,7.42,206.94,-0.0018,36.28,0.7107,11.37,48.7,Shrubland,3,634,1,MODERATE
28.020477,92.309038,Arunachal Pradesh,1016.36,8.37,304.97,-0.1265,243.21,0.6992,19.02,53.31,Forest,4,798,0,LOW
10.375666,75.833136,Kerala,1659.78,15.8,315.25,-0.0986,72.79,0.7622,20.2,53.79,Forest,2,2414,0,MODERATE
29.528195,78.32159,Uttarakhand,1830.71,9.08,330.57,0.1849,46.22,0.4094,18.95,68.27,Forest,4,3357,0,LOW
12.722957,74.434486,Karnataka,244.83,10.79,333.44,-0.0575,41.81,0.6663,27.55,38.76,Forest,2,858,0,NO_RISK
17.722299,77.102358,Maharashtra,1251.16,21.11,292.38,-0.0684,112.7,0.4684,17.1,41.09,Built-up,3,495,0,HIGH
27.017725,97.199062,Arunachal Pradesh,2259.53,11.56,174.56,0.3576,296.08,0.67,15.11,70.94,Cropland,4,1645,1,HIGH
30.603193,76.145314,Himachal Pradesh,1417.74,15.99,270.16,-0.0891,135.25,0.4816,22.42,48.19,Shrubland,5,2364,1,MODERATE
33.102313,74.278703,Jammu and Kashmir,2888.58,22.89,113.16,-0.2255,204.19,0.7812,14.07,63.54,Grassland,7,3353,0,CRITICAL
25.531518,91.927529,Meghalaya,566.49,28.58,89.23,0.0002,49.53,0.6697,20.28,37.16,Shrubland,3,50,1,CRITICAL
13.566915,77.241383,Tamil Nadu,1697.55,5.38,130.17,0.1786,134.25,0.2345,15.15,55.82,Grassland,3,2024,0,LOW
20.372273,79.343477,Maharashtra,1462.34,9.9,125.27,0.0112,136.1,0.6925,22.01,51.21,Built-up,8,879,0,MODERATE
18.479916,78.176994,Karnataka,1964.38,17.07,295.26,-0.1017,163.34,0.8418,13.86,63.9,Built-up,5,2875,1,HIGH
17.990267,78.045966,Karnataka,98.28,29.58,123.18,0.0457,122.67,0.7275,24.81,71.43,Cropland,3,3576,1,MODERATE
27.166611,88.061413,Sikkim,1507.35,15.68,304.56,-0.1559,184.53,0.8808,16.86,48.28,Shrubland,5,3884,0,MODERATE
25.346046,90.131645,Meghalaya,3068.9,40.82,299.48,-0.1816,314.73,0.4301,3.99,62.51,Forest,8,3440,1,CRITICAL
27.070822,87.040517,West Bengal,859.97,22.36,78.35,0.0808,149.0,0.4838,21.27,71.98,Forest,7,1869,1,MODERATE
25.091406,87.107287,West Bengal,379.53,6.13,94.04,-0.1862,142.01,0.1724,27.73,62.43,Grassland,0,-1,0,NO_RISK
31.504203,77.903325,Himachal Pradesh,1603.52,16.68,214.4,-0.193,229.77,0.7863,13.81,47.36,Forest,11,908,1,HIGH
8.594794,75.92496,Kerala,1592.65,20.13,9.11,-0.0922,68.94,0.899,20.1,63.03,Forest,7,661,0,HIGH
28.706198,80.963337,Uttarakhand,2780.63,6.04,256.18,0.1016,121.43,0.1414,13.0,71.67,Grassland,4,2208,0,MODERATE
15.01897,76.383525,Karnataka,641.03,7.41,95.96,0.0606,123.26,0.9745,19.48,61.85,Grassland,3,3994,1,MODERATE
18.408074,73.787769,Maharashtra,2237.17,24.37,259.34,0.1259,189.9,0.7069,9.64,67.85,Built-up,9,2563,1,CRITICAL
33.335043,75.479078,Jammu and Kashmir,1447.43,25.61,348.29,-0.3571,206.25,0.5052,20.87,63.74,Grassland,5,3911,0,MODERATE
17.322519,75.630434,Karnataka,1827.95,2.91,182.7,-0.0329,33.62,0.9022,14.12,39.2,Built-up,4,1522,0,MODERATE
25.316685,89.817922,Meghalaya,1548.59,1.78,208.61,0.0237,84.32,0.6409,22.44,61.7,Barren,3,3715,0,MODERATE
35.137695,73.909387,Jammu and Kashmir,666.32,24.47,70.05,-0.141,45.54,0.661,25.27,33.09,Grassland,2,282,0,LOW
25.796596,92.694227,Meghalaya,1562.12,9.47,150.32,0.0655,181.47,0.8992,17.24,64.95,Forest,4,2043,0,HIGH
29.01878,92.889799,Arunachal Pradesh,645.68,19.68,307.08,0.1603,217.39,0.5189,26.65,75.02,Forest,7,342,1,MODERATE
12.229246,80.345423,Tamil Nadu,697.71,5.79,177.87,0.0961,123.38,0.0763,18.97,79.18,Forest,3,2619,0,LOW
25.994568,92.351822,Meghalaya,989.97,18.59,0.72,0.2925,45.8,0.8247,18.49,51.55,Forest,1,982,0,MODERATE
32.53173,78.447799,Himachal Pradesh,914.52,14.91,207.2,-0.2278,119.14,0.3251,19.44,59.52,Shrubland,5,2563,0,MODERATE
26.0025,89.439848,West Bengal,1439.65,2.56,77.48,0.1112,63.71,0.705,12.81,68.56,Barren,3,3694,0,LOW
16.14823,77.553014,Karnataka,202.83,35.38,163.55,-0.0227,65.85,0.4235,30.62,43.37,Built-up,1,209,1,MODERATE
27.683631,88.229637,Sikkim,1322.02,9.94,172.31,-0.35,277.3,0.7902,15.58,47.64,Forest,7,2435,1,MODERATE
26.101964,87.736715,West Bengal,197.0,10.51,51.0,0.1565,126.72,0.4475,24.72,49.75,Barren,5,3622,1,NO_RISK
29.306816,80.523691,Uttarakhand,2165.06,45.91,269.84,-0.0603,61.92,0.3371,13.94,60.24,Forest,7,1802,0,CRITICAL
20.619628,73.052193,Maharashtra,150.34,7.93,36.77,0.0713,154.49,0.3468,30.54,53.96,Forest,5,389,0,NO_RISK
25.772058,87.594214,West Bengal,1212.65,5.56,42.48,-0.3546,156.28,0.1647,20.92,55.83,Forest,5,3538,1,LOW
29.35321,95.424359,Arunachal Pradesh,876.87,13.53,122.4,-0.4348,174.6,0.5961,19.19,58.67,Cropland,7,1076,1,MODERATE
27.378282,88.239346,Sikkim,2773.33,21.38,11.93,0.0584,68.42,0.7927,5.79,51.3,Forest,3,2113,0,HIGH
10.128149,74.899665,Kerala,2528.34,7.26,344.77,0.0265,88.08,0.6476,6.8,66.48,Cropland,3,569,0,NO_RISK
19.057115,77.786351,Maharashtra,2648.11,8.36,284.84,-0.3187,97.51,0.1841,9.73,58.94,Shrubland,9,2451,1,LOW
33.726248,74.853763,Jammu and Kashmir,567.9,19.44,333.87,0.0315,155.71,0.5433,28.51,56.55,Grassland,4,153,1,HIGH
26.058376,90.287225,Meghalaya,774.96,17.2,18.12,-0.047,29.85,0.7065,25.31,51.74,Barren,1,2865,1,MODERATE
28.782283,78.745444,Uttarakhand,1136.27,14.37,132.23,-0.2132,276.6,0.4693,26.17,51.03,Built-up,8,745,0,MODERATE
12.956349,78.914978,Tamil Nadu,1240.03,23.39,175.59,-0.0274,531.69,0.343,18.08,64.29,Built-up,10,39,1,HIGH
10.548465,74.876037,Kerala,1048.19,5.47,343.76,-0.025,164.3,0.3371,23.06,52.86,Grassland,4,1056,0,LOW
17.173062,75.146442,Maharashtra,833.58,6.69,109.81,0.0001,55.85,0.3061,26.61,56.91,Cropland,2,88,1,NO_RISK
29.518647,79.55425,Uttarakhand,1576.77,5.06,319.24,0.1593,209.34,0.5446,20.87,64.06,Forest,6,3497,0,LOW
26.620581,95.511673,Arunachal Pradesh,1578.8,18.84,203.84,-0.3207,165.35,0.1794,18.68,76.34,Forest,6,2049,1,HIGH
13.911515,75.32061,Karnataka,1189.08,17.78,276.04,0.1356,300.28,0.6554,23.64,82.86,Forest,8,3965,1,HIGH
10.965498,79.074869,Tamil Nadu,334.2,13.1,111.49,-0.0827,231.27,0.6564,19.35,59.08,Forest,5,1067,0,MODERATE
25.031115,90.995615,Meghalaya,1904.79,4.19,79.82,-0.0904,206.98,0.1535,10.71,57.87,Grassland,2,3688,0,NO_RISK
12.997906,76.581808,Karnataka,1572.44,34.57,232.3,-0.1177,255.15,0.6768,22.93,70.58,Forest,11,757,1,CRITICAL
9.034606,77.248403,Tamil Nadu,646.95,10.0,77.48,-0.1284,136.26,0.5216,19.6,67.21,Forest,6,3236,0,NO_RISK
25.363446,89.875667,Meghalaya,2035.67,27.34,237.12,-0.0191,67.56,0.9111,12.21,63.48,Barren,5,2995,0,CRITICAL
8.821311,76.962705,Tamil Nadu,659.21,16.11,211.22,-0.321,137.84,0.7118,26.79,48.33,Grassland,3,3881,0,MODERATE
26.525069,92.74158,Arunachal Pradesh,1869.63,6.51,162.31,-0.0177,222.26,0.2951,13.0,61.4,Forest,3,3008,1,MODERATE
27.125443,88.119546,Sikkim,2929.18,7.31,252.31,0.4032,184.52,0.2951,7.5,53.63,Forest,8,862,1,LOW
19.646694,77.710709,Maharashtra,1193.12,10.17,267.1,0.1153,31.02,0.7071,18.29,70.81,Forest,4,2822,0,LOW
15.812766,72.620823,Maharashtra,821.41,20.75,264.86,0.1005,50.21,0.3305,22.27,49.52,Cropland,3,2792,1,LOW
29.614812,79.64828,Uttarakhand,494.18,7.69,19.62,-0.1146,256.58,0.6057,21.57,67.37,Forest,7,2329,0,LOW
9.579257,79.703292,Tamil Nadu,1448.39,3.8,147.83,-0.0856,209.75,0.7718,18.97,60.6,Forest,4,3462,0,LOW
27.720553,88.126975,Sikkim,737.98,18.34,357.68,-0.0332,21.17,0.4608,27.79,52.19,Forest,3,3219,0,LOW
11.978271,77.113271,Karnataka,1163.3,16.4,286.9,-0.0668,235.37,0.5665,25.21,70.16,Grassland,4,921,0,LOW
32.539943,76.318229,Himachal Pradesh,620.45,13.36,93.66,0.1489,38.22,0.5455,28.21,40.57,Forest,2,3421,0,LOW
16.124257,77.510233,Karnataka,488.3,6.51,192.83,-0.1707,27.32,0.8171,23.43,44.71,Forest,4,3927,0,LOW
15.904652,75.680721,Karnataka,771.83,21.07,155.78,-0.0723,138.28,0.6828,28.74,60.3,Cropland,4,3764,1,HIGH
17.350163,76.517181,Karnataka,942.95,14.14,54.07,0.3915,151.61,0.1446,16.17,73.18,Grassland,3,443,0,LOW
20.748436,77.853483,Maharashtra,1490.16,13.46,24.79,0.1612,105.32,0.6178,23.99,77.52,Shrubland,8,3524,1,LOW
25.494453,87.33785,West Bengal,590.62,16.4,4.85,0.2864,462.12,0.8921,32.84,76.33,Forest,9,2095,1,CRITICAL
20.719401,73.726832,Maharashtra,1893.67,2.7,37.5,0.3223,102.8,0.1642,17.9,49.64,Grassland,2,3660,0,LOW
26.700903,92.174872,Arunachal Pradesh,1333.37,1.52,303.99,0.1978,153.06,0.4565,17.51,60.1,Barren,2,2529,0,NO_RISK
15.014762,78.293281,Karnataka,3102.47,15.75,108.33,-0.0153,258.12,0.7858,3.11,59.09,Shrubland,4,1543,1,CRITICAL
10.184995,76.908593,Kerala,916.64,13.32,64.6,0.1423,220.32,0.2641,22.54,64.48,Forest,4,1906,0,LOW
25.767391,88.142189,West Bengal,1388.85,15.23,47.48,0.062,248.25,0.574,23.11,63.6,Built-up,5,716,1,HIGH
25.827514,89.735968,West Bengal,836.64,7.36,132.47,0.226,93.89,0.2932,21.97,58.25,Cropland,2,3458,0,LOW
11.463576,76.06265,Kerala,602.69,14.38,238.34,-0.0843,184.94,0.8518,20.31,52.34,Forest,3,3435,0,MODERATE
31.930339,78.563134,Himachal Pradesh,2067.76,5.96,83.71,-0.1797,26.33,0.7963,8.46,54.06,Cropland,2,1645,1,MODERATE
31.369042,80.669875,Uttarakhand,505.45,33.8,328.19,-0.2055,147.51,0.9709,28.1,46.87,Forest,5,1329,1,CRITICAL
27.645761,88.802152,Sikkim,991.25,6.24,73.08,0.1138,277.69,0.4862,20.21,44.47,Forest,7,440,0,LOW
30.962382,79.516475,Uttarakhand,4632.95,15.0,2.31,-0.0744,389.95,0.3621,1.84,62.95,Shrubland,14,2084,0,HIGH
25.882527,90.647445,Meghalaya,512.29,18.7,140.88,-0.2781,235.02,0.866,25.13,45.99,Built-up,5,67,1,HIGH
20.462915,76.497038,Maharashtra,2031.7,15.74,273.64,0.1047,311.43,0.588,19.3,52.12,Forest,6,1637,0,MODERATE
20.250811,74.402821,Maharashtra,658.12,9.37,351.57,-0.0568,117.88,0.6871,18.06,43.59,Forest,4,3467,0,LOW
25.512851,87.358622,West Bengal,1513.1,20.29,266.72,0.1318,80.41,0.3016,18.07,65.9,Barren,1,359,0,MODERATE
12.993794,77.642208,Tamil Nadu,995.23,3.82,27.45,-0.0775,461.75,0.6314,19.12,74.56,Grassland,9,1847,0,MODERATE
8.233072,77.023705,Kerala,1170.61,22.05,152.76,-0.0033,75.73,0.2445,21.54,45.18,Forest,7,1652,1,MODERATE
30.389265,77.026495,Himachal Pradesh,1348.08,27.4,106.62,-0.263,296.63,0.7743,20.42,76.12,Built-up,3,2903,1,HIGH
15.004253,75.461719,Karnataka,1596.34,25.9,343.65,-0.022,230.12,0.855,16.83,42.74,Shrubland,7,992,1,HIGH
10.13793,75.720549,Kerala,2618.33,18.61,128.84,-0.1164,41.42,0.2586,10.54,45.33,Shrubland,5,614,1,HIGH
10.73385,75.83412,Kerala,721.45,8.14,106.64,0.0636,50.55,0.5966,26.44,64.61,Shrubland,1,379,0,MODERATE
11.827112,77.34528,Kerala,2223.95,23.08,347.36,-0.2395,71.36,0.7966,7.76,61.14,Forest,4,2998,1,HIGH
10.146061,75.397988,Kerala,1965.22,22.02,359.61,-0.2513,62.52,0.8551,14.99,45.46,Grassland,6,3721,0,MODERATE
31.856421,76.646272,Himachal Pradesh,578.85,15.71,15.7,-0.426,161.68,0.7813,27.57,49.93,Forest,6,280,0,MODERATE
12.720862,77.382438,Kerala,1991.79,4.51,60.68,-0.0539,218.94,0.1268,15.61,57.47,Forest,5,3474,0,HIGH
16.936509,77.209986,Karnataka,1022.12,38.4,119.64,-0.0798,111.0,0.198,15.71,51.62,Forest,7,406,1,HIGH
27.628661,96.093097,Arunachal Pradesh,1386.48,14.19,304.69,-0.0926,33.54,0.4276,21.4,39.46,Forest,4,3476,0,LOW
11.295884,74.806778,Kerala,494.18,11.07,266.05,0.0652,169.74,0.5967,26.02,55.04,Forest,2,1481,0,MODERATE
31.032714,78.945808,Himachal Pradesh,359.89,19.66,112.93,0.1608,257.4,0.4149,24.72,64.05,Grassland,8,2370,1,HIGH
27.113377,93.966038,Arunachal Pradesh,828.4,18.9,119.46,-0.2963,297.67,0.2041,22.45,70.87,Cropland,11,1816,1,MODERATE
25.684178,90.374296,Meghalaya,1304.0,23.71,216.71,0.1972,106.51,0.5085,25.15,62.51,Forest,4,2345,1,MODERATE
35.075925,77.131325,Jammu and Kashmir,876.83,14.92,44.82,0.3457,44.37,0.607,16.28,62.65,Cropland,2,3875,0,MODERATE
27.25235,88.404715,Sikkim,1069.6,27.87,358.0,-0.0456,69.87,0.2346,17.98,51.62,Barren,5,3527,0,MODERATE
28.242549,95.506376,Arunachal Pradesh,1432.06,15.03,246.63,0.2171,57.12,0.4684,20.31,51.13,Shrubland,2,1528,1,LOW
26.059221,91.106257,Meghalaya,2639.25,10.35,25.83,0.1434,67.37,0.5973,15.17,53.67,Forest,5,1008,0,LOW
34.90448,74.933936,Jammu and Kashmir,785.33,5.82,17.22,0.1435,50.95,0.3573,26.61,59.23,Forest,2,1686,0,LOW
13.342942,80.309279,Tamil Nadu,719.66,24.53,237.4,-0.1178,101.7,0.89,21.74,50.53,Forest,8,3115,0,HIGH
31.948379,77.939217,Himachal Pradesh,788.87,17.49,22.63,0.0312,382.61,0.8745,17.36,66.3,Forest,7,2008,1,HIGH
28.160147,88.372868,Sikkim,543.65,26.58,66.87,-0.1779,52.12,0.8737,23.23,51.7,Grassland,1,1130,1,HIGH
12.980157,77.755756,Tamil Nadu,1157.4,23.58,266.15,0.066,136.63,0.8365,22.18,44.99,Barren,4,379,1,HIGH
32.934392,76.587726,Himachal Pradesh,1696.91,11.97,49.51,-0.0678,184.77,0.169,15.08,76.57,Forest,2,470,0,LOW
11.390587,76.631218,Tamil Nadu,1445.53,10.33,124.62,0.0117,53.69,0.7347,16.98,40.79,Built-up,4,3297,1,MODERATE
27.626699,91.823722,Arunachal Pradesh,276.93,11.61,39.64,-0.1939,91.44,0.9592,23.75,72.49,Forest,2,1435,0,LOW
33.108588,76.591842,Jammu and Kashmir,1423.7,23.77,298.62,-0.0099,81.03,0.2985,14.59,54.81,Forest,8,2088,1,MODERATE
26.076713,96.1523,Arunachal Pradesh,194.21,11.45,248.99,0.0663,51.73,0.5596,27.37,53.78,Cropland,0,-1,0,LOW
26.119811,90.172349,Meghalaya,1484.81,25.34,279.71,0.014,467.22,0.99,16.25,60.88,Forest,12,2024,1,CRITICAL
18.147833,76.236447,Maharashtra,619.67,15.63,323.01,-0.1742,50.02,0.6478,25.15,48.36,Forest,2,2560,1,MODERATE
29.042467,79.063462,Uttarakhand,1575.98,13.65,177.16,-0.0234,57.49,0.2153,18.24,55.83,Built-up,4,659,0,MODERATE
10.32715,76.344199,Kerala,602.67,10.51,246.48,-0.0539,59.86,0.5678,19.3,52.95,Grassland,4,535,0,LOW
25.924461,88.818288,West Bengal,864.66,3.9,257.12,-0.0723,9.23,0.5443,21.01,36.06,Built-up,1,2351,0,LOW
13.084037,77.090524,Karnataka,175.28,19.33,172.15,0.1023,98.64,0.7653,33.91,52.88,Shrubland,6,348,0,MODERATE
32.500252,74.42021,Jammu and Kashmir,179.0,3.69,248.26,0.0672,128.77,0.808,28.2,67.61,Forest,3,2049,0,LOW
16.71419,78.658312,Maharashtra,1185.08,6.76,133.43,-0.0288,107.41,0.7649,22.86,54.44,Forest,4,2016,1,LOW
25.154726,92.776581,Meghalaya,1016.6,11.33,55.7,0.3252,182.17,0.5371,24.46,67.6,Grassland,4,2272,0,LOW
25.120659,90.044708,Meghalaya,2697.96,2.52,121.06,-0.0198,292.91,0.8311,13.26,58.6,Forest,5,1184,1,HIGH
25.712596,91.952731,Meghalaya,710.94,20.87,21.09,-0.1367,101.71,0.8632,19.22,53.77,Forest,3,3565,1,MODERATE
17.906911,75.176252,Karnataka,2484.79,11.59,320.49,0.2767,99.39,0.8512,9.45,46.46,Forest,5,2747,1,HIGH
28.622112,96.208304,Arunachal Pradesh,358.39,11.99,357.87,-0.0311,140.11,0.4065,25.61,69.42,Grassland,4,1734,0,MODERATE
29.043964,79.671397,Uttarakhand,660.93,26.55,203.7,-0.1574,52.46,0.4567,21.66,54.34,Shrubland,3,849,0,MODERATE
27.235745,94.148625,Arunachal Pradesh,1813.18,18.98,323.33,-0.0507,167.04,0.5716,14.68,65.2,Grassland,3,3467,1,MODERATE
32.036718,77.400947,Himachal Pradesh,2609.71,19.86,347.28,-0.2453,20.53,0.5521,9.98,58.36,Forest,0,-1,0,LOW
31.491583,81.003205,Uttarakhand,183.64,13.97,258.08,-0.2291,224.64,0.2989,25.33,51.7,Forest,6,134,0,MODERATE
33.027696,77.787782,Himachal Pradesh,5200.0,10.8,264.19,0.1129,221.55,0.5273,-6.11,73.16,Forest,7,3728,1,CRITICAL
12.922766,74.224386,Karnataka,4331.96,1.55,271.36,0.3027,5.76,0.7156,-2.46,41.39,Forest,1,8,1,MODERATE
16.605152,77.648827,Maharashtra,1837.42,9.0,169.36,-0.1937,30.63,0.5066,20.95,70.16,Grassland,3,546,0,LOW
16.711083,75.131688,Maharashtra,688.78,12.02,258.07,0.1224,77.78,0.7223,24.85,57.14,Cropland,4,2932,0,MODERATE
26.382706,87.621829,West Bengal,2564.11,12.53,326.16,-0.1316,120.14,0.6167,9.3,65.17,Shrubland,3,3143,1,HIGH
20.243294,78.382504,Maharashtra,490.72,4.73,26.23,-0.0162,114.82,0.6385,23.75,32.19,Cropland,5,1508,0,LOW
30.580292,77.782963,Uttarakhand,1359.64,15.51,76.79,0.0032,28.13,0.1681,17.54,56.96,Grassland,5,446,0,MODERATE
9.824852,80.318529,Tamil Nadu,1786.69,15.19,328.24,0.1194,198.31,0.8959,19.3,74.71,Built-up,6,532,1,CRITICAL
25.645808,87.637482,West Bengal,3346.57,11.34,213.06,0.015,40.64,0.4968,8.31,57.63,Barren,1,1155,0,LOW
34.399144,75.556702,Jammu and Kashmir,1858.15,24.89,44.16,0.115,135.01,0.6129,22.16,64.29,Grassland,5,2335,1,MODERATE
30.451397,79.864971,Uttarakhand,580.39,13.71,65.17,-0.0837,247.94,0.8241,32.43,79.98,Barren,7,3482,0,MODERATE
27.008336,88.838425,West Bengal,1743.24,14.13,147.96,-0.1973,183.15,0.4101,16.93,58.5,Cropland,5,3918,0,MODERATE
17.082112,78.182498,Maharashtra,1776.56,11.04,237.62,0.0527,317.26,0.5502,15.95,58.01,Forest,16,1330,1,HIGH
26.85605,89.617224,West Bengal,772.55,12.24,44.86,-0.0987,131.14,0.5714,29.55,40.48,Shrubland,5,2742,0,MODERATE
25.550015,90.658572,Meghalaya,1282.39,34.85,74.57,-0.166,113.37,0.5291,12.92,74.96,Cropland,10,2895,0,MODERATE
30.347773,77.888265,Uttarakhand,1534.18,18.57,105.39,0.1898,68.53,0.6135,20.64,36.2,Built-up,4,154,0,MODERATE
25.334404,92.450759,Meghalaya,694.94,7.62,268.0,0.0886,158.97,0.5296,20.06,70.99,Shrubland,1,800,0,LOW
27.946001,88.729092,Sikkim,2181.93,23.38,210.48,-0.1685,82.04,0.6314,16.33,62.77,Shrubland,6,3588,1,CRITICAL
28.323203,93.11271,Arunachal Pradesh,1496.65,5.15,357.27,0.0255,108.79,0.3432,16.39,62.35,Grassland,1,1796,1,MODERATE
17.330934,79.267062,Maharashtra,1678.84,2.32,267.1,0.3542,23.98,0.7119,12.23,66.47,Forest,2,1321,1,LOW
9.963563,75.434279,Kerala,575.92,16.26,134.84,0.0932,9.99,0.1992,28.94,49.19,Forest,2,559,0,NO_RISK
10.530073,75.868136,Kerala,2840.18,45.79,40.06,-0.0086,69.19,0.429,9.33,73.66,Cropland,4,3923,0,CRITICAL
28.940341,91.779136,Arunachal Pradesh,1709.25,5.63,183.08,-0.3349,324.81,0.5785,12.43,57.49,Shrubland,8,1328,0,LOW
34.048845,75.448865,Jammu and Kashmir,1442.92,26.75,284.52,0.0029,60.66,0.7165,19.01,65.33,Forest,8,1567,0,MODERATE
30.904975,78.02059,Himachal Pradesh,3687.49,13.65,87.52,0.087,104.13,0.1853,6.82,62.17,Grassland,7,2237,0,MODERATE
26.380543,93.187778,Arunachal Pradesh,1580.4,25.2,87.31,-0.0507,92.56,0.4883,18.59,58.56,Built-up,4,2873,0,MODERATE
29.119187,78.519805,Uttarakhand,536.05,19.69,139.78,-0.2127,74.06,0.6628,25.66,60.58,Forest,4,3084,0,MODERATE
